,author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,district,street,house_number,underground,residential_complex
42,ID 277227,unknown,https://www.cian.ru/rent/flat/301320108/,Москва,rent,flat,10,10,2,38.0,100000,0,Даниловский,проспект Лихачева,12к3,Технопарк,
43,ЦАН,real_estate_agent,https://www.cian.ru/rent/flat/307311805/,Москва,rent,flat,13,14,2,49.0,93000,0,Котловка, Дмитрия Ульянова,47,Крымская,
44,ID 121850326,homeowner,https://www.cian.ru/rent/flat/307407001/,Москва,rent,flat,2,10,2,50.0,95000,0,Даниловский,Люсиновская ,53,Серпуховская,
45,Елена Закора,realtor,https://www.cian.ru/rent/flat/307525375/,Москва,rent,flat,4,5,2,45.0,75000,0,Даниловский,Автозаводская ,23К7,ЗИЛ,
46,ID 11593464,realtor,https://www.cian.ru/rent/flat/304972016/,Москва,rent,flat,9,17,2,60.0,85000,0,Академический,проспект 60-летия Октября,19,Академическая,
47,EMPIRE HOME,real_estate_agent,https://www.cian.ru/rent/flat/307674600/,Москва,rent,flat,9,16,2,52.0,70000,0,Нагатинский затон,Коломенская набережная,10,Нагатинский Затон,
48,Олимп,real_estate_agent,https://www.cian.ru/rent/flat/267385655/,Москва,rent,flat,2,26,2,38.0,70000,0,Даниловский,Автозаводская ,23Бк2,ЗИЛ,
49,Владислав Заименко,realtor,https://www.cian.ru/rent/flat/307588001/,Москва,rent,flat,8,15,2,52.0,70000,0,Царицыно,Пролетарский проспект,25,Кантемировская,
50,Юлия Бударина,realtor,https://www.cian.ru/rent/flat/307654564/,Москва,rent,flat,4,9,2,38.0,70000,0,Котловка, Винокурова,26К1,Крымская,
51,Елена Атаманова,realtor,https://www.cian.ru/rent/flat/307511431/,Москва,rent,flat,3,24,2,55.6,80000,0,Зюзино,Балаклавский проспект,18К1,Чертановская,
